Project,Plate_ID,Plate_Row,Plate_Col,Sample,Raw_value
HTS_Cell_Screen_FP,336,8,11,TN336-08-11,6.39413503203844
HTS_Cell_Screen_FP,336,8,12,TN336-08-12,7.62623671675052
HTS_Cell_Screen_FP,336,8,13,TN336-08-13,11.3541592341774
HTS_Cell_Screen_FP,336,8,14,TN336-08-14,5.29544979527211
HTS_Cell_Screen_FP,336,8,15,TN336-08-15,15.0291190286144
HTS_Cell_Screen_FP,336,8,16,TN336-08-16,9.05637504828288
HTS_Cell_Screen_FP,336,8,17,TN336-08-17,18.7486470418471
HTS_Cell_Screen_FP,336,8,18,TN336-08-18,8.96949563200694
HTS_Cell_Screen_FP,336,8,19,TN336-08-19,7.98319305983585
HTS_Cell_Screen_FP,336,8,20,TN336-08-20,20.1499033905925
HTS_Cell_Screen_FP,336,8,21,TN336-08-21,4.14575192936858
HTS_Cell_Screen_FP,336,8,22,TN336-08-22,2.02164435445601
HTS_Cell_Screen_FP,336,8,23,TN336-08-23,2.19239872962287
HTS_Cell_Screen_FP,336,8,24,ctrl,9.14686648031384
HTS_Cell_Screen_FP,336,9,1,ctrl,90.280514771813
HTS_Cell_Screen_FP,336,9,2,TN336-09-02,5.04752462507648
HTS_Cell_Screen_FP,336,9,3,TN336-09-03,8.57440391651972
HTS_Cell_Screen_FP,336,9,4,TN336-09-04,5.038184131399
HTS_Cell_Screen_FP,336,9,5,TN336-09-05,11.1880307760302
HTS_Cell_Screen_FP,336,9,6,TN336-09-06,13.4554002994909
HTS_Cell_Screen_FP,336,9,7,TN336-09-07,6.97831646015864
HTS_Cell_Screen_FP,336,9,8,TN336-09-08,7.75247818084176
HTS_Cell_Screen_FP,336,9,9,TN336-09-09,11.7730485193453
HTS_Cell_Screen_FP,336,9,10,TN336-09-10,5.42427293263558
HTS_Cell_Screen_FP,336,9,11,TN336-09-11,12.5430323858448
HTS_Cell_Screen_FP,336,9,12,TN336-09-12,11.8476324140483
HTS_Cell_Screen_FP,336,9,13,TN336-09-13,5.02450272114845
HTS_Cell_Screen_FP,336,9,14,TN336-09-14,3.25730212298324
HTS_Cell_Screen_FP,336,9,15,TN336-09-15,16.9846905706215
HTS_Cell_Screen_FP,336,9,16,TN336-09-16,2.91180297654367
HTS_Cell_Screen_FP,336,9,17,TN336-09-17,3.72356276744764
HTS_Cell_Screen_FP,336,9,18,TN336-09-18,31.4750496338481
HTS_Cell_Screen_FP,336,9,19,TN336-09-19,16.6589656780458
HTS_Cell_Screen_FP,336,9,20,TN336-09-20,6.63124344886117
HTS_Cell_Screen_FP,336,9,21,TN336-09-21,9.01357056354878
HTS_Cell_Screen_FP,336,9,22,TN336-09-22,5.97583687532413
HTS_Cell_Screen_FP,336,9,23,TN336-09-23,18.2054215815654
HTS_Cell_Screen_FP,336,9,24,ctrl,13.100427128022
HTS_Cell_Screen_FP,336,10,1,ctrl,96.921829811126
HTS_Cell_Screen_FP,336,10,2,TN336-10-02,7.72367271558961
HTS_Cell_Screen_FP,336,10,3,TN336-10-03,10.7926204192501
HTS_Cell_Screen_FP,336,10,4,TN336-10-04,4.36925216010459
HTS_Cell_Screen_FP,336,10,5,TN336-10-05,11.7251932867944
HTS_Cell_Screen_FP,336,10,6,TN336-10-06,4.94552051540076
HTS_Cell_Screen_FP,336,10,7,TN336-10-07,4.10081084327402
HTS_Cell_Screen_FP,336,10,8,TN336-10-08,8.56398672696612
HTS_Cell_Screen_FP,336,10,9,TN336-10-09,11.3953260457134
HTS_Cell_Screen_FP,336,10,10,TN336-10-10,3.3810557920422
HTS_Cell_Screen_FP,336,10,11,TN336-10-11,5.45752814561188
HTS_Cell_Screen_FP,336,10,12,TN336-10-12,4.5368487843422
HTS_Cell_Screen_FP,336,10,13,TN336-10-13,5.23234785323615
HTS_Cell_Screen_FP,336,10,14,TN336-10-14,14.7943865545483
HTS_Cell_Screen_FP,336,10,15,TN336-10-15,8.21757660876461
HTS_Cell_Screen_FP,336,10,16,TN336-10-16,2.67087464118905
HTS_Cell_Screen_FP,336,10,17,TN336-10-17,3.69859397356867
HTS_Cell_Screen_FP,336,10,18,TN336-10-18,9.98310117124852
HTS_Cell_Screen_FP,336,10,19,TN336-10-19,2.85612679416243
HTS_Cell_Screen_FP,336,10,20,TN336-10-20,11.9324988990801
HTS_Cell_Screen_FP,336,10,21,TN336-10-21,12.2045215054575
HTS_Cell_Screen_FP,336,10,22,TN336-10-22,6.17943641404479
HTS_Cell_Screen_FP,336,10,23,TN336-10-23,2.58085517739066
HTS_Cell_Screen_FP,336,10,24,ctrl,12.3150360409355
HTS_Cell_Screen_FP,336,11,1,ctrl,95.373357391935
HTS_Cell_Screen_FP,336,11,2,TN336-11-02,10.4286911529772
HTS_Cell_Screen_FP,336,11,3,TN336-11-03,8.20463972922156
HTS_Cell_Screen_FP,336,11,4,TN336-11-04,2.86901749399495
HTS_Cell_Screen_FP,336,11,5,TN336-11-05,7.14875116576399
HTS_Cell_Screen_FP,336,11,6,TN336-11-06,7.57797516939378
HTS_Cell_Screen_FP,336,11,7,TN336-11-07,8.23589798685024
HTS_Cell_Screen_FP,336,11,8,TN336-11-08,5.42732932241653
HTS_Cell_Screen_FP,336,11,9,TN336-11-09,15.6272746657712
HTS_Cell_Screen_FP,336,11,10,TN336-11-10,14.859568695945
HTS_Cell_Screen_FP,336,11,11,TN336-11-11,5.69637139038352
HTS_Cell_Screen_FP,336,11,12,TN336-11-12,8.60357574778261
HTS_Cell_Screen_FP,336,11,13,TN336-11-13,6.34406034023062
HTS_Cell_Screen_FP,336,11,14,TN336-11-14,8.33549858273602
HTS_Cell_Screen_FP,336,11,15,TN336-11-15,4.66270040959484
HTS_Cell_Screen_FP,336,11,16,TN336-11-16,4.69416485431974
HTS_Cell_Screen_FP,336,11,17,TN336-11-17,6.49238451207846
HTS_Cell_Screen_FP,336,11,18,TN336-11-18,15.8078218634226
HTS_Cell_Screen_FP,336,11,19,TN336-11-19,1.86812297214632
HTS_Cell_Screen_FP,336,11,20,TN336-11-20,3.69904063994805
HTS_Cell_Screen_FP,336,11,21,TN336-11-21,3.80374718976677
HTS_Cell_Screen_FP,336,11,22,TN336-11-22,6.26628953525783
HTS_Cell_Screen_FP,336,11,23,TN336-11-23,5.24059670366628
HTS_Cell_Screen_FP,336,11,24,ctrl,9.83569857478556
HTS_Cell_Screen_FP,336,12,1,ctrl,86.3435057675501
HTS_Cell_Screen_FP,336,12,2,TN336-12-02,10.8895392320383
HTS_Cell_Screen_FP,336,12,3,TN336-12-03,26.5898092805092
HTS_Cell_Screen_FP,336,12,4,TN336-12-04,14.9668026650696
HTS_Cell_Screen_FP,336,12,5,TN336-12-05,14.0396252627273
HTS_Cell_Screen_FP,336,12,6,TN336-12-06,9.09661849896865
HTS_Cell_Screen_FP,336,12,7,TN336-12-07,6.27734143818617
HTS_Cell_Screen_FP,336,12,8,TN336-12-08,9.39620573355292
HTS_Cell_Screen_FP,336,12,9,TN336-12-09,7.44635306006796
HTS_Cell_Screen_FP,336,12,10,TN336-12-10,8.31275390112055
HTS_Cell_Screen_FP,336,12,11,TN336-12-11,15.6911096627307
HTS_Cell_Screen_FP,336,12,12,TN336-12-12,8.57350747565545
HTS_Cell_Screen_FP,336,12,13,TN336-12-13,7.91375761475907
HTS_Cell_Screen_FP,336,12,14,TN336-12-14,1.65807033732738
HTS_Cell_Screen_FP,336,12,15,TN336-12-15,9.54230061860755
HTS_Cell_Screen_FP,336,12,16,TN336-12-16,8.34364439980513
HTS_Cell_Screen_FP,336,12,17,TN336-12-17,3.68871505741086
HTS_Cell_Screen_FP,336,12,18,TN336-12-18,10.8589184659943
HTS_Cell_Screen_FP,336,12,19,TN336-12-19,5.74156271043514
HTS_Cell_Screen_FP,336,12,20,TN336-12-20,11.9423145302096
HTS_Cell_Screen_FP,336,12,21,TN336-12-21,11.0317758425507
HTS_Cell_Screen_FP,336,12,22,TN336-12-22,5.95821168188246
HTS_Cell_Screen_FP,336,12,23,TN336-12-23,12.5507247884468
